solution,scenario,Revenues,Habitat availability
min,min
1,1,228.12,11.84
1,2,246.00,11.84
1,3,258.63,11.84
1,4,276.52,11.84
1,5,240.92,11.71
1,6,258.81,11.71
1,7,271.44,11.71
1,8,289.32,11.71
1,9,253.72,11.60
1,10,271.61,11.60
1,11,284.24,11.60
1,12,302.12,11.60
2,1,214.16,13.00
2,2,246.85,13.00
2,3,240.52,13.00
2,4,273.20,13.00
2,5,226.16,12.85
2,6,258.84,12.85
2,7,252.51,12.85
2,8,285.20,12.85
2,9,238.14,12.73
2,10,270.82,12.73
2,11,264.49,12.73
2,12,297.18,12.73
